BaseVehicleID,YearID,MakeID,ModelID
1,2002,1,1
2,2003,1,1
3,1995,1,2
4,1996,1,2
5,1997,1,2
6,1998,1,2
7,1999,1,2
8,2000,1,2
9,2001,1,2
10,2002,1,2
11,1999,1,3
12,2000,1,3
13,2001,1,3
14,2002,1,3
15,2003,1,3
16,1986,1,4
17,1987,1,4
18,1988,1,4
19,1989,1,4
20,1990,1,4
21,1991,1,4
22,1992,1,4
23,1993,1,4
24,1994,1,4
25,1995,1,4
26,1989,1,5
27,1990,1,5
28,1991,1,5
29,1992,1,5
30,1993,1,5
31,1994,1,5
32,1995,1,5
33,1996,1,5
34,1997,1,5
35,1998,1,5
36,1989,1,6
37,1990,1,6
38,1991,1,6
39,1992,1,6
40,1993,1,6
41,1994,1,6
42,1995,1,6
43,1996,1,6
44,1997,1,6
45,1998,1,6
46,1999,1,6
47,2000,1,6
48,2001,1,6
49,1999,1,7
50,2000,1,7
51,2001,1,7
52,2002,1,7
53,2003,1,7
54,1998,1,8
55,1996,1,8
56,1997,1,8
57,2002,1,9
58,2003,1,9
59,1975,2,10
60,1976,2,10
61,1977,2,10
62,1978,2,10
63,1979,2,10
64,1980,2,10
65,1981,2,10
66,1982,2,10
67,1983,2,10
68,1984,2,10
69,1985,2,10
70,1986,2,10
71,1987,2,10
72,1988,2,10
73,1989,2,10
74,1990,2,10
75,1991,2,10
76,1992,2,10
77,1993,2,10
78,1994,2,10
79,1995,2,10
80,1996,2,10
81,1997,2,10
82,1998,2,10
83,1999,2,10
84,2000,2,10
85,2001,2,10
86,2002,2,10
87,2003,2,10
88,1976,2,11
89,1975,2,12
90,1976,2,12
91,1977,2,13
92,1978,2,13
93,1979,2,13
94,1980,2,13
95,1981,2,13
96,1982,2,13
97,1987,2,13
98,1988,2,13
99,1978,2,14
100,1979,2,14
101,1980,2,14
102,1981,2,14
103,1982,2,14
104,1983,2,14
105,1984,2,14
106,1985,2,14
107,1986,2,14
108,1987,2,14
109,1988,2,14
110,1989,2,14
111,1990,2,14
112,1991,2,14
113,1993,2,14
114,1994,2,14
115,1995,2,14
116,1978,2,15
117,1979,2,15
118,1983,2,16
119,1984,2,16
120,1985,2,16
121,1986,2,16
122,1987,2,16
123,1988,2,16
124,1989,2,16
125,1990,2,16
126,1991,2,16
127,1992,2,17
128,1993,2,17
129,1994,2,17
130,1995,2,17
131,1997,2,18
132,1998,2,18
133,1999,2,18
134,2000,2,18
135,2001,2,18
136,2002,2,18
137,2003,2,18
138,2003,2,19
139,1986,3,20
140,1989,3,21
141,1987,3,20
142,1990,3,21
143,1991,3,22
144,1991,3,21
145,1992,3,22
146,1988,3,20
147,1992,3,23
148,1992,3,21
149,1993,3,22
150,1993,3,21
151,1994,3,22
152,1993,3,23
153,1989,3,20
154,1994,3,21
155,1995,3,22
156,1995,3,21
157,1995,3,24
158,1994,3,23
159,1996,3,21
160,1996,3,23
161,1997,3,25
162,1996,3,24
163,1995,3,23
164,1997,3,21
165,1997,3,23
166,1997,3,24
167,1998,3,21
168,1998,3,23
169,2001,3,26
170,1998,3,24
171,1999,3,21
172,2000,3,21
173,1999,3,24
174,2001,3,21
175,1999,3,23
176,1998,3,25
177,2002,3,21
178,2000,3,24
179,2001,3,27
